"time","year","week","BadenWuerttemberg","Bavaria","Berlin","Brandenburg","Bremen","Hamburg","Hesse","MecklenburgVorpommern","Lower.Saxony","North.RhineWestphalia","RhinelandPalatinate","Saarland","Saxony","SaxonyAnhalt","SchleswigHolstein","Thuringia","Unknown","Germany"
2016.46153846154,2016,24,2,2,0,0,0,2,0,0,1,4,0,1,0,2,2,1,0,17
2016.48076923077,2016,25,2,2,2,0,0,0,1,0,1,2,0,0,0,0,0,1,0,11
2016.5,2016,26,3,2,1,0,2,0,2,0,0,3,3,1,0,0,0,0,0,17
2016.51923076923,2016,27,1,5,6,0,0,0,6,0,1,2,1,0,0,0,0,0,0,22
2016.53846153846,2016,28,3,3,0,0,0,0,1,1,2,5,0,0,0,0,1,0,0,16
2016.55769230769,2016,29,0,10,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,16
2016.57692307692,2016,30,2,3,1,0,0,0,0,0,1,5,1,0,0,0,0,0,0,13
2016.59615384615,2016,31,1,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,11
2016.61538461538,2016,32,0,4,1,0,0,0,0,0,0,6,0,1,0,1,1,1,0,15
2016.63461538462,2016,33,0,4,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,9
2016.65384615385,2016,34,1,2,1,0,0,0,2,0,1,6,0,0,1,0,0,0,0,14
2016.67307692308,2016,35,0,1,5,0,0,1,1,1,2,2,0,0,0,0,0,0,0,13
2016.69230769231,2016,36,3,1,0,0,0,0,1,1,2,4,0,0,1,1,2,1,0,17
2016.71153846154,2016,37,2,1,1,1,0,0,6,0,1,2,1,0,0,0,1,1,0,17
2016.73076923077,2016,38,5,1,1,0,0,0,1,0,1,3,0,2,2,0,0,0,0,16
2016.75,2016,39,0,2,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,12
2016.76923076923,2016,40,0,2,1,0,0,0,2,0,0,4,2,0,0,0,0,1,0,12
2016.78846153846,2016,41,1,4,1,0,0,0,2,1,0,1,1,1,0,1,2,0,0,15
2016.80769230769,2016,42,5,3,1,0,0,2,1,0,3,4,2,0,0,1,0,0,0,22
2016.82692307692,2016,43,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,7
2016.84615384615,2016,44,5,3,2,0,0,0,1,0,1,3,1,0,1,0,0,1,0,18
2016.86538461538,2016,45,3,3,1,0,0,0,1,0,0,6,0,0,0,0,0,1,0,15
2016.88461538462,2016,46,1,4,0,0,1,0,2,0,0,2,1,0,0,0,0,1,0,12
2016.90384615385,2016,47,2,4,0,0,1,2,0,0,2,5,0,0,0,0,0,1,0,17
2016.92307692308,2016,48,0,2,4,0,1,0,1,0,2,2,0,0,0,0,0,0,0,12
2016.94230769231,2016,49,0,6,1,2,0,0,2,0,1,7,1,0,1,1,1,0,0,23
2016.96153846154,2016,50,1,3,0,0,0,0,2,0,3,4,0,0,1,0,0,0,0,14
2016.98076923077,2016,51,1,0,2,1,0,0,1,0,0,3,2,0,1,0,2,1,0,14
