"","time","year","week","BadenWuerttemberg","Bavaria","Berlin","Brandenburg","Bremen","Hamburg","Hesse","MecklenburgVorpommern","Lower.Saxony","North.RhineWestphalia","RhinelandPalatinate","Saarland","Saxony","SaxonyAnhalt","SchleswigHolstein","Thuringia","Unknown","Germany"
"902",2018.28846153846,2018,15,2,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,11
"903",2018.30769230769,2018,16,4,7,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,19
"904",2018.32692307692,2018,17,3,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,10
"905",2018.34615384615,2018,18,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,5
"906",2018.36538461538,2018,19,2,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,8
"907",2018.38461538462,2018,20,1,4,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,10
"908",2018.40384615385,2018,21,0,1,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,7
"909",2018.42307692308,2018,22,0,2,1,0,1,1,0,0,0,0,2,0,1,0,1,0,0,9
"910",2018.44230769231,2018,23,0,1,0,0,0,1,0,1,2,1,2,0,0,0,0,1,0,9
"911",2018.46153846154,2018,24,1,3,0,0,0,0,1,0,2,2,0,1,0,0,0,1,0,11
"912",2018.48076923077,2018,25,0,1,0,0,0,0,1,0,1,3,1,0,0,0,1,0,0,8
"913",2018.5,2018,26,1,1,1,0,0,1,0,0,1,3,0,0,0,1,1,1,0,11
"914",2018.51923076923,2018,27,0,3,0,0,0,1,2,0,1,1,1,0,1,0,0,0,0,10
"915",2018.53846153846,2018,28,0,6,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,12
"916",2018.55769230769,2018,29,0,5,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,9
"917",2018.57692307692,2018,30,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,5
"918",2018.59615384615,2018,31,0,2,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,8
"919",2018.61538461538,2018,32,2,4,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,12
"920",2018.63461538462,2018,33,0,2,0,0,0,1,0,0,2,3,1,0,0,0,1,0,0,10
"921",2018.65384615385,2018,34,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5
"922",2018.67307692308,2018,35,0,2,1,0,0,0,0,0,0,2,3,1,0,1,0,0,0,10
"923",2018.69230769231,2018,36,0,2,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,8
"924",2018.71153846154,2018,37,1,1,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,9
"925",2018.73076923077,2018,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926",2018.75,2018,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"927",2018.76923076923,2018,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928",2018.78846153846,2018,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"929",2018.80769230769,2018,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930",2018.82692307692,2018,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"931",2018.84615384615,2018,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932",2018.86538461538,2018,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933",2018.88461538462,2018,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"934",2018.90384615385,2018,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935",2018.92307692308,2018,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"936",2018.94230769231,2018,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937",2018.96153846154,2018,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
